time_s,topic,accel_mps2,gyro_radps
0.985034544,/uas1/imu/data_raw,9.828815415253818,0.0005647027001926641
0.994336987,/uas1/imu/data,9.828815415253818,0.0005668252921710555
1.006286695,/uas1/imu/data_raw,9.831681397125147,0.0004129405731069956
1.013481999,/uas1/imu/data,9.831681397125147,0.00046763493639824744
1.025971309,/uas1/imu/data_raw,9.82749277808073,0.0004811491399766657
1.033767594,/uas1/imu/data,9.82749277808073,0.0002730361856812628
1.045745341,/uas1/imu/data_raw,9.828236734893883,0.0005013088076067882
1.054107853,/uas1/imu/data,9.828236734893883,0.000540037905165188
1.065602971,/uas1/imu/data_raw,9.827059293899026,0.0004082955225162807
1.074229538,/uas1/imu/data,9.827059293899026,0.0003096986249034114
1.085711453,/uas1/imu/data_raw,9.828393831221696,0.0005851717778441295
1.094496133,/uas1/imu/data,9.828393831221696,0.0005549196402145231
1.105824043,/uas1/imu/data_raw,9.828151906703136,0.0006531031027266735
1.113666792,/uas1/imu/data,9.828151906703136,0.0004243737675970567
1.125818928,/uas1/imu/data_raw,9.828449844526627,0.00028920718086415166
1.133785389,/uas1/imu/data,9.828449844526627,0.00037291262025076013
1.145751689,/uas1/imu/data_raw,9.828066181395297,0.0005028976006674787
1.154088771,/uas1/imu/data,9.828066181395297,0.0004345157812335345
1.165506661,/uas1/imu/data_raw,9.826164569261257,0.0006968940846949495
1.174046041,/uas1/imu/data,9.826164569261257,0.0007050187634787333
1.185459054,/uas1/imu/data_raw,9.828426134708565,0.0002326125333071792
1.194060952,/uas1/imu/data,9.828426134708565,0.00043331920448613206
1.205852853,/uas1/imu/data_raw,9.828023821371142,0.0002600319386502066
1.214225362,/uas1/imu/data,9.828023821371142,0.000397685733084576
1.225797955,/uas1/imu/data_raw,9.827926857003115,0.0005824146674818462
1.233454284,/uas1/imu/data,9.827926857003115,0.0005514458717347631
1.245461623,/uas1/imu/data_raw,9.827797900717563,0.0005563901342778545
1.253887806,/uas1/imu/data,9.827797900717563,0.00047709206877436086
1.265345317,/uas1/imu/data_raw,9.825970072749064,0.0003566199021194827
1.274519461,/uas1/imu/data,9.825970072749064,0.00036577656373652014
1.285395995,/uas1/imu/data_raw,9.826702786186106,0.0005596069927677774
1.294260906,/uas1/imu/data,9.826702786186106,0.0005723465493663235
1.30563449,/uas1/imu/data_raw,9.830195391238512,0.0004426197321132998
1.31418551,/uas1/imu/data,9.830195391238512,0.0003680718809374695
1.32562042,/uas1/imu/data_raw,9.825901522160098,0.0004836972745773112
1.333615031,/uas1/imu/data,9.825901522160098,0.0004396066021081001
1.346154795,/uas1/imu/data_raw,9.824986298445321,0.0005597852225041021
1.35422871,/uas1/imu/data,9.824986298445321,0.0003604911758885492
1.365972652,/uas1/imu/data_raw,9.826918246000716,0.0005982554351424052
1.373325505,/uas1/imu/data,9.826918246000716,0.0005947916010019531
1.385313372,/uas1/imu/data_raw,9.829453582180255,0.0005465463832670677
1.393605674,/uas1/imu/data,9.829453582180255,0.00036331859112624074
1.405013644,/uas1/imu/data_raw,9.826259002650303,0.0005002520909430678
1.413913341,/uas1/imu/data,9.826259002650303,0.0004880008140535654
1.42572785,/uas1/imu/data_raw,9.82696120976481,0.0004522694635896657
1.43330069,/uas1/imu/data,9.82696120976481,0.0004191319945085274
1.445830444,/uas1/imu/data_raw,9.82629890882279,0.0003281943923389337
1.453307337,/uas1/imu/data,9.82629890882279,0.0003611552578841289
1.465389838,/uas1/imu/data_raw,9.827136169866375,0.0005846836815252015
1.473790922,/uas1/imu/data,9.827136169866375,0.00034025732623239863
1.485586602,/uas1/imu/data_raw,9.823346269782293,0.0004114010352820081
1.494409584,/uas1/imu/data,9.823346269782293,0.00033569095364320665
1.506059699,/uas1/imu/data_raw,9.82481288711399,0.00032388296584743133
1.514214339,/uas1/imu/data,9.82481288711399,0.0004101502273741085
1.526192684,/uas1/imu/data_raw,9.822751482881339,0.0004441731576095977
1.533921964,/uas1/imu/data,9.822751482881339,0.0005773242038084621
1.54600783,/uas1/imu/data_raw,9.820709647434628,0.0002199822470067896
1.555000378,/uas1/imu/data,9.820709647434628,0.00018807631332178748
1.565717672,/uas1/imu/data_raw,9.821911090155423,0.0005228094452046521
1.573553194,/uas1/imu/data,9.821911090155423,0.0005650201498352517
1.585407075,/uas1/imu/data_raw,9.823401428118018,0.0002888147749561784
1.594208987,/uas1/imu/data,9.823401428118018,0.00031210231297433067
1.605508032,/uas1/imu/data_raw,9.824109149007526,0.0004852686807867319
1.614343661,/uas1/imu/data,9.824109149007526,0.00035173618457118663
1.62572083,/uas1/imu/data_raw,9.824498370197825,0.00032765226545133447
1.633752578,/uas1/imu/data,9.824498370197825,0.0003793630869763314
1.645653696,/uas1/imu/data_raw,9.825703181088276,0.0003738061244853562
1.65337987,/uas1/imu/data,9.825703181088276,0.0004976008103042273
1.665612635,/uas1/imu/data_raw,9.824886748821509,0.0004472435126932409
1.673900007,/uas1/imu/data,9.824886748821509,0.0005260672627258064
1.685527459,/uas1/imu/data_raw,9.824579326496325,0.0004224598422047475
1.694125019,/uas1/imu/data,9.824579326496325,0.0003431706127915964
1.705372598,/uas1/imu/data_raw,9.822902007408539,0.0004907255012092775
1.713867665,/uas1/imu/data,9.822902007408539,0.00040260658964516425
1.726430948,/uas1/imu/data_raw,9.823318687173598,0.0006084466074995861
1.733338009,/uas1/imu/data,9.823318687173598,0.0004006052199014059
1.746028788,/uas1/imu/data_raw,9.822136586248588,0.00035250471455678875
1.75364363,/uas1/imu/data,9.822136586248588,0.0004419320934862521
1.765145401,/uas1/imu/data_raw,9.823670690085779,0.00022913720775719925
1.774371695,/uas1/imu/data,9.823670690085779,0.0004359441427347449
1.78568708,/uas1/imu/data_raw,9.821831766580795,0.0004653474203346173
1.794775718,/uas1/imu/data,9.821831766580795,0.00039708822792919335
1.805406541,/uas1/imu/data_raw,9.8220634047834,0.000576725697124968
1.813881695,/uas1/imu/data,9.8220634047834,0.0006471235160242489
1.825850181,/uas1/imu/data_raw,9.8225823469086,0.0002967509803493395
1.833790073,/uas1/imu/data,9.8225823469086,0.00027706510062607253
1.845577945,/uas1/imu/data_raw,9.817708047263606,0.0003143459757998934
1.853602748,/uas1/imu/data,9.817708047263606,0.0003116266962657323
1.865304444,/uas1/imu/data_raw,9.824204428029825,0.00040580381166926976
1.874241134,/uas1/imu/data,9.824204428029825,0.0004088272353304752
1.885621467,/uas1/imu/data_raw,9.821716110551751,0.0005240386988625193
1.894296476,/uas1/imu/data,9.821716110551751,0.0004251378997145161
1.906059446,/uas1/imu/data_raw,9.824068374974246,0.0004841804867942418
1.913813835,/uas1/imu/data,9.824068374974246,0.00047383246249213496
1.925794241,/uas1/imu/data_raw,9.8267122532712,0.0005371402621773658
1.933681679,/uas1/imu/data,9.8267122532712,0.0004748917384820855
1.945356943,/uas1/imu/data_raw,9.824790003725088,0.00041972651659624445
1.954030221,/uas1/imu/data,9.824790003725088,0.00041964611118918863
1.965387332,/uas1/imu/data_raw,9.82188365867427,0.00044159047048760775
1.97407464,/uas1/imu/data,9.82188365867427,0.00042118702178884244
1.985780799,/uas1/imu/data_raw,9.825578388460753,0.0003315564307618119
1.994030303,/uas1/imu/data,9.825578388460753,0.0003799827793823273
2.005654756,/uas1/imu/data_raw,9.827857790458854,0.0003671759446150237
2.013780645,/uas1/imu/data,9.827857790458854,0.00034698752175732933
2.026119572,/uas1/imu/data_raw,9.825957235831115,0.0005050459386694832
2.033832271,/uas1/imu/data,9.825957235831115,0.0004306206325133842
2.045602668,/uas1/imu/data_raw,9.825969915675167,0.000284681311705105
2.053781914,/uas1/imu/data,9.825969915675167,0.0002309330536789534
2.065335977,/uas1/imu/data_raw,9.823263410502191,0.00031123258853174975
2.073948767,/uas1/imu/data,9.823263410502191,0.0002412733150671462
2.08562792,/uas1/imu/data_raw,9.824965157263426,0.00023886052617880086
2.094619006,/uas1/imu/data,9.824965157263426,0.0002718527881917698
