time_s,lat_deg,lon_deg,alt_m
0.994697681,47.397972,8.5461644,47.76322778573594
1.014167995,47.397972,8.5461644,47.76322778573594
1.027393395,47.3979702,8.5461661,48.41522456621039
1.034160627,47.397972,8.5461644,47.76322778573594
1.054129154,47.397972,8.5461644,47.76422778573594
1.074251855,47.397972,8.5461644,47.765227785735945
1.094941591,47.397972,8.5461645,47.76722764618128
1.114115077,47.397972,8.5461645,47.769227646181285
1.134190132,47.397972,8.5461645,47.77122764618129
1.154539404,47.397972,8.5461645,47.77322764618128
1.154803516,47.3979717,8.5461646,48.720227365439456
1.174407899,47.397972,8.5461645,47.775227646181285
1.194366825,47.397972,8.5461645,47.77722764618129
1.214609409,47.397972,8.5461646,47.779227506626626
1.233812682,47.397972,8.5461646,47.78122750662663
1.254207929,47.397972,8.5461646,47.78422750662663
1.274843823,47.397972,8.5461646,47.78622750662663
1.277418629,47.3979724,8.5461636,48.16122909042571
1.294710746,47.397972,8.5461646,47.788227506626626
1.314762529,47.397972,8.5461646,47.79022750662663
1.333904252,47.3979719,8.5461646,47.793227459564086
1.356840043,47.3979719,8.5461646,47.79522745956409
1.373598655,47.3979719,8.5461646,47.79922745956409
1.393710357,47.3979719,8.5461646,47.80122745956409
1.405197886,47.3979702,8.5461636,48.181228055066484
1.414317721,47.3979719,8.5461646,47.80422745956409
1.433992314,47.3979719,8.5461646,47.806227459564084
1.453569114,47.3979719,8.5461646,47.81022745956409
1.474168907,47.3979719,8.5461646,47.812227459564085
1.494680767,47.3979719,8.5461646,47.815227459564085
1.514612542,47.3979719,8.5461647,47.818227320009456
1.527770595,47.3979703,8.5461672,47.16822307817241
1.534196493,47.3979719,8.5461647,47.821227320009456
1.555834509,47.3979719,8.5461647,47.82322732000946
1.57410442,47.3979719,8.5461647,47.82622732000946
1.594512347,47.3979719,8.5461647,47.827227320009456
1.615066272,47.3979719,8.5461647,47.82922732000946
1.634122304,47.3979719,8.5461647,47.830227320009456
1.649646239,47.3979725,8.5461622,46.69623109125527
1.653841877,47.3979718,8.5461647,47.83222727294709
1.674532043,47.3979718,8.5461647,47.833227272947084
1.694237265,47.3979718,8.5461648,47.83422713339245
1.714272904,47.3979718,8.5461648,47.833227133392455
1.733811129,47.3979718,8.5461648,47.83222713339246
1.75387657,47.3979718,8.5461648,47.83122713339245
1.774401882,47.3979718,8.5461648,47.830227133392455
1.77804199,47.3979719,8.5461616,47.90523164620157
1.79513267,47.3979718,8.5461648,47.830227133392455
1.814345774,47.3979718,8.5461648,47.82922713339246
1.834127754,47.3979719,8.5461648,47.82922718045483
1.853898485,47.3979719,8.5461648,47.82922718045483
1.874768095,47.3979719,8.5461647,47.828227320009454
1.894882035,47.3979719,8.5461647,47.828227320009454
1.906611765,47.3979708,8.5461644,47.36922722099493
1.914377396,47.3979719,8.5461647,47.828227320009454
1.934095909,47.3979719,8.5461647,47.82922732000946
1.954336517,47.3979719,8.5461647,47.828227320009454
1.974339129,47.3979719,8.5461647,47.827227320009456
1.994515129,47.3979719,8.5461647,47.82622732000946
2.014244642,47.3979719,8.5461647,47.82522732000945
2.027664173,47.3979697,8.5461628,46.453228936200524
2.034101303,47.3979719,8.5461647,47.82522732000945
2.054120269,47.3979719,8.5461647,47.824227320009456
2.074362859,47.3979719,8.5461647,47.82322732000946
2.095043381,47.3979718,8.5461646,47.82022741250169
2.115256743,47.3979718,8.5461646,47.818227412501685
2.134185779,47.3979718,8.5461646,47.815227412501685
2.15499997,47.3979718,8.5461646,47.81322741250169
2.155751382,47.3979739,8.5461596,47.002235378595245
2.173603814,47.3979718,8.5461646,47.81122741250169
2.195236095,47.3979718,8.5461645,47.81022755205632
2.213981808,47.3979718,8.5461645,47.805227552056316
2.233722656,47.3979718,8.5461645,47.80322755205631
2.254046648,47.3979718,8.5461645,47.799227552056315
2.274175741,47.3979718,8.5461645,47.79722755205631
2.281415044,47.3979706,8.5461646,47.774226847764936
2.294544479,47.3979719,8.5461644,47.79422773867334
2.314174004,47.3979719,8.5461644,47.79222773867335
2.333522363,47.3979719,8.5461644,47.78922773867335
2.354664223,47.3979719,8.5461644,47.787227738673344
2.374041866,47.3979719,8.5461644,47.78522773867334
2.394926595,47.3979719,8.5461644,47.784227738673344
2.406456945,47.3979731,8.5461635,46.817229559428675
2.414191575,47.3979719,8.5461643,47.78222787822797
2.434550044,47.3979719,8.5461643,47.78122787822797
2.454476239,47.3979719,8.5461643,47.77822787822797
2.475163173,47.3979719,8.5461643,47.77622787822797
2.494821984,47.3979719,8.5461643,47.77322787822797
2.514332239,47.3979719,8.5461643,47.771227878227975
2.527332549,47.3979697,8.5461645,47.37222656378104
2.533967975,47.3979719,8.5461643,47.768227878227975
2.554572036,47.3979719,8.5461643,47.76722787822797
2.57435675,47.3979719,8.5461643,47.765227878227975
2.594117951,47.3979719,8.5461643,47.76322787822797
2.613882561,47.3979719,8.5461643,47.76122787822797
2.633961094,47.3979718,8.5461642,47.75922797072009
2.653848986,47.3979718,8.5461642,47.758227970720085
2.654254129,47.3979717,8.5461596,47.6572343431646
2.673802371,47.3979718,8.5461642,47.75722797072009
2.694875265,47.3979718,8.5461642,47.755227970720085
2.714342772,47.3979718,8.5461642,47.755227970720085
2.733910525,47.3979718,8.5461642,47.75322797072009
2.75384299,47.3979718,8.5461641,47.75322811027469
2.773707968,47.3979718,8.5461641,47.752228110274686
2.781809466,47.3979705,8.5461645,47.75522694025884
2.794706578,47.3979718,8.5461641,47.75122811027469
2.814330092,47.3979718,8.5461641,47.75122811027469
2.834026787,47.3979718,8.546164,47.75022824982929
2.854073761,47.3979718,8.546164,47.74822824982929
2.873713555,47.3979718,8.546164,47.74722824982929
2.895050147,47.3979718,8.546164,47.746228249829294
2.90140393,47.3979729,8.5461631,47.76323002351915
2.91461347,47.3979718,8.5461639,47.74522838938386
2.933944194,47.3979718,8.5461639,47.74522838938386
2.953902222,47.3979718,8.5461639,47.74522838938386
2.974038069,47.3979718,8.5461639,47.746228389383866
2.994867114,47.3979718,8.5461638,47.747228528938464
3.014253226,47.3979718,8.5461638,47.74822852893846
3.027116882,47.3979707,8.5461677,46.41722256863906
3.034119884,47.3979719,8.5461638,47.74922857600104
3.054123618,47.3979719,8.5461637,47.750228715555636
3.075048577,47.3979719,8.5461637,47.750228715555636
3.094765365,47.3979719,8.5461637,47.747228715555636
3.114077313,47.3979719,8.5461637,47.74522871555563
3.134267414,47.3979719,8.5461637,47.74322871555564
3.149616994,47.3979683,8.546163,46.99022799827514
3.154420345,47.3979719,8.5461637,47.74222871555563
3.175033794,47.3979719,8.5461637,47.74022871555564
3.194651167,47.3979719,8.5461637,47.73922871555563
3.213877335,47.3979719,8.5461637,47.735228715555635
3.234234251,47.3979719,8.5461637,47.73322871555563
3.254264379,47.3979718,8.5461637,47.730228668493034
3.273956771,47.3979718,8.5461637,47.729228668493036
3.281427697,47.3979723,8.5461653,46.779226670932076
3.294473835,47.3979718,8.5461637,47.726228668493036
3.313986771,47.3979718,8.5461637,47.72522866849304
3.333996913,47.3979718,8.5461637,47.72222866849304
3.354170276,47.3979718,8.5461637,47.720228668493036
3.373352081,47.3979718,8.5461637,47.717228668493036
3.395801992,47.3979718,8.5461637,47.71622866849304
3.405736082,47.3979715,8.5461634,46.867228945969636
