time_s,vx_mps,vy_mps,vz_mps,speed_mps
0.993342632,0.011490099132061005,0.049679066985845566,0.09662695229053497,0.1092556633937392
1.026274077,0.01170292403548956,0.04974190145730972,0.09684644639492035,0.10950091036559162
1.061794704,0.011979330331087112,0.04999200627207756,0.09713253378868103,0.1098973801621222
1.093851337,0.01323658786714077,0.049391500651836395,0.09778229147195816,0.11034538558776201
1.125839749,0.014382966794073582,0.0489102341234684,0.09842422604560852,0.11084407520697243
1.161910958,0.015395328402519226,0.04847904294729233,0.09908567368984222,0.11137865357543482
1.193585016,0.016362210735678673,0.04813964664936066,0.09973369538784027,0.11194622599890794
1.226214544,0.01707141101360321,0.047629464417696,0.10002055764198303,0.11208974487313812
1.261784602,0.01787436567246914,0.047084990888834,0.10042040795087814,0.1123421009604837
1.29372438,0.01851564273238182,0.046812091022729874,0.10076619684696198,0.11264114398706292
1.325859555,0.01904819905757904,0.0464886911213398,0.10120121389627457,0.11298547687022438
1.361663538,0.01929386332631111,0.04581599310040474,0.10179121047258377,0.11328198848583368
1.393513044,0.019497999921441078,0.04534444585442543,0.1024186909198761,0.11369203587113104
1.426112506,0.0197328869253397,0.044992148876190186,0.10302917659282684,0.11414329378593122
1.461674781,0.02025149017572403,0.04426063224673271,0.10379765182733536,0.11464326821094512
1.49357584,0.020616652444005013,0.04351281002163887,0.1043694019317627,0.1149407806375525
1.526505279,0.020887713879346848,0.042926859110593796,0.10491660237312317,0.11526710405716915
1.561803659,0.02114182710647583,0.04243937507271767,0.10542458295822144,0.11559593462521872
1.59379832,0.021857475861907005,0.04205125942826271,0.10570141673088074,0.11583974779613522
1.625738622,0.022706367075443268,0.04175722971558571,0.10593366622924805,0.11610851381382287
1.661804871,0.02357311174273491,0.04149150848388672,0.10636008530855179,0.11657488846379534
1.693616452,0.024019841104745865,0.041381802409887314,0.10638278722763062,0.11664777647133923
1.726961381,0.023982973769307137,0.04144658148288727,0.10555580258369446,0.1159095751287389
1.761646656,0.02403125911951065,0.04163815826177597,0.10485803335905075,0.11535356430656821
1.794059403,0.024117883294820786,0.04185039922595024,0.10425945371389389,0.11490501250473625
1.826422854,0.024142654612660408,0.042034368962049484,0.10373444855213165,0.1145014924016223
1.861910417,0.023758795112371445,0.04217799752950668,0.10299690067768097,0.11380608670013566
1.893687993,0.023473333567380905,0.042382027953863144,0.10255121439695358,0.11341951003481503
1.926095746,0.02315913699567318,0.04260725528001785,0.10226941853761673,0.11318461819921995
1.961807718,0.022546863183379173,0.04256964847445488,0.10177039355039597,0.11259551063009197
1.993753003,0.02178344875574112,0.042178574949502945,0.10104796290397644,0.11164336805878007
2.02646883,0.021148420870304108,0.041863370686769485,0.10057433694601059,0.11097294608459782
2.061698718,0.02041035145521164,0.04158153012394905,0.10012121498584747,0.11031710558302565
2.09390233,0.01898619532585144,0.041035622358322144,0.09892373532056808,0.10876719783583662
2.125783215,0.017645537853240967,0.040606897324323654,0.09791846573352814,0.1074630682981202
2.161822263,0.016457514837384224,0.0402679443359375,0.09705966711044312,0.1063622870911251
2.193867919,0.015336886048316956,0.04011347517371178,0.09636735171079636,0.10550344752624616
2.226312989,0.014106323942542076,0.04084106162190437,0.09471847116947174,0.10410845052279942
2.261456301,0.012795047834515572,0.04173080250620842,0.09295371919870377,0.10269161134080612
2.29353853,0.011811652220785618,0.042581237852573395,0.0918193832039833,0.10189934286933429
2.325168071,0.010965929366648197,0.043103404343128204,0.09076594561338425,0.10107725736254099
2.361721491,0.010198904201388359,0.04267708957195282,0.08966387063264847,0.09982465285724715
2.393865924,0.009454872459173203,0.04233390465378761,0.08865661919116974,0.09869929190659525
2.426568114,0.008764156140387058,0.042032524943351746,0.08790700137615204,0.09783243059902665
2.461065687,0.008065985515713692,0.04162726551294327,0.08659224212169647,0.09641631476097437
2.493830807,0.00751968938857317,0.04134790971875191,0.08540109544992447,0.0951816288506232
2.526457024,0.006933655124157667,0.04115336015820503,0.08434677869081497,0.09410660816971896
2.562265953,0.00641640042886138,0.040965307503938675,0.08343084901571274,0.09316669566340968
