time_s,percentage,voltage
1.728490724,1.0,16.200000762939453
3.727403743,1.0,16.200000762939453
5.727761621,1.0,16.200000762939453
7.727607048,1.0,16.190000534057617
9.727619834,1.0,16.141000747680664
11.726945124,1.0,16.08300018310547
13.727165673,0.949999988079071,16.023000717163086
15.727474595,1.0,15.963000297546387
17.727510684,0.9300000071525574,15.903000831604004
19.727125854,0.8999999761581421,15.843000411987305
21.728793753,0.8700000047683716,15.783000946044922
23.727033785,0.7599999904632568,15.723000526428223
25.727529969,0.7300000190734863,15.66300106048584
27.72850341,0.699999988079071,15.60300064086914
29.72763095,0.6399999856948853,15.543001174926758
31.727951289,0.9100000262260437,16.03700065612793
33.727569173,0.9900000095367432,16.177000045776367
35.727091298,1.0,16.196001052856445
